time_s,time_h,C_max,C_center,C_surface,R_m
93480.00000000,25.966666666667,0.279136906281,0.279136906281,0.0666100577746,0.01203
93540.00000000,25.983333333333,0.278926685204,0.278926685204,0.0665772870698,0.01203
93600.00000000,26.000000000000,0.278716872931,0.278716872931,0.0665446330117,0.01203
93660.00000000,26.016666666667,0.278507468346,0.278507468346,0.066512094344,0.01203
93720.00000000,26.033333333333,0.278298470342,0.278298470342,0.0664796698553,0.01203
93780.00000000,26.050000000000,0.278089877809,0.278089877809,0.0664473583764,0.01203
93840.00000000,26.066666666667,0.277881689647,0.277881689647,0.0664151587782,0.01203
93900.00000000,26.083333333333,0.277673904754,0.277673904754,0.0663830699688,0.01203
93960.00000000,26.100000000000,0.277466522036,0.277466522036,0.0663510908919,0.01203
94020.00000000,26.116666666667,0.2772595404,0.2772595404,0.0663192205248,0.01203
94080.00000000,26.133333333333,0.277052958756,0.277052958756,0.0662874578761,0.01203
94140.00000000,26.150000000000,0.276846776019,0.276846776019,0.0662558019848,0.01203
94200.00000000,26.166666666667,0.276640991107,0.276640991107,0.066224251918,0.01203
94260.00000000,26.183333333333,0.276435602942,0.276435602942,0.0661928067699,0.01203
94320.00000000,26.200000000000,0.276230610449,0.276230610449,0.0661614656601,0.01203
94380.00000000,26.216666666667,0.276026012555,0.276026012555,0.0661302277325,0.01203
94440.00000000,26.233333333333,0.275821808193,0.275821808193,0.0660990921541,0.01203
94500.00000000,26.250000000000,0.275617996298,0.275617996298,0.0660680581138,0.01203
94560.00000000,26.266666666667,0.275414575808,0.275414575808,0.0660371248215,0.01203
94620.00000000,26.283333333333,0.275211545666,0.275211545666,0.0660062915069,0.01203
94680.00000000,26.300000000000,0.275008904817,0.275008904817,0.0659755574185,0.01203
94740.00000000,26.316666666667,0.274806652209,0.274806652209,0.0659449218232,0.01203
94800.00000000,26.333333333333,0.274604786796,0.274604786796,0.0659143840051,0.01203
94860.00000000,26.350000000000,0.274403307532,0.274403307532,0.0658839432647,0.01203
94920.00000000,26.366666666667,0.274202213377,0.274202213377,0.0658535989183,0.01203
94980.00000000,26.383333333333,0.274001503292,0.274001503292,0.0658233502974,0.01203
95040.00000000,26.400000000000,0.273801176244,0.273801176244,0.0657931967479,0.01203
95100.00000000,26.416666666667,0.273601231202,0.273601231202,0.0657631376295,0.01203
95160.00000000,26.433333333333,0.273401667138,0.273401667138,0.0657331723154,0.01203
95220.00000000,26.450000000000,0.273202483027,0.273202483027,0.0657033001911,0.01203
95280.00000000,26.466666666667,0.27300367785,0.27300367785,0.0656735206548,0.01203
95340.00000000,26.483333333333,0.272805250588,0.272805250588,0.0656438331162,0.01203
95400.00000000,26.500000000000,0.272607200227,0.272607200227,0.0656142369961,0.01203
95460.00000000,26.516666666667,0.272409525754,0.272409525754,0.0655919143775,0.0120299674074
95520.00000000,26.533333333333,0.272212226149,0.272212226149,0.0655782365427,0.0120298725926
95580.00000000,26.550000000000,0.272015300403,0.272015300403,0.0655696619278,0.01202972
95640.00000000,26.566666666667,0.271818747509,0.271818747509,0.0655644292307,0.0120295140741
95700.00000000,26.583333333333,0.271622566468,0.271622566468,0.0655613955318,0.0120292592593
95760.00000000,26.600000000000,0.271426756282,0.271426756282,0.0655597314461,0.01202896
95820.00000000,26.616666666667,0.271231315959,0.271231315959,0.0655587942058,0.0120286207407
95880.00000000,26.633333333333,0.271036244512,0.271036244512,0.0655580633411,0.0120282459259
95940.00000000,26.650000000000,0.270841540954,0.270841540954,0.0655571039498,0.01202784
96000.00000000,26.666666666667,0.270647204307,0.270647204307,0.0655555439314,0.0120274074074
96060.00000000,26.683333333333,0.270453233592,0.270453233592,0.0655530589968,0.0120269525926
96120.00000000,26.700000000000,0.270259627835,0.270259627835,0.0655493623292,0.01202648
96180.00000000,26.716666666667,0.270066386068,0.270066386068,0.0655441971826,0.0120259940741
96240.00000000,26.733333333333,0.269873507323,0.269873507323,0.0655373314225,0.0120254992593
96300.00000000,26.750000000000,0.269680990637,0.269680990637,0.0655285533961,0.012025
96360.00000000,26.766666666667,0.269488835052,0.269488835052,0.065517668741,0.0120245007407
96420.00000000,26.783333333333,0.269297039612,0.269297039612,0.0655044978763,0.0120240059259
96480.00000000,26.800000000000,0.269105603364,0.269105603364,0.0654888739973,0.01202352
96540.00000000,26.816666666667,0.268914525358,0.268914525358,0.0654706414525,0.0120230474074
96600.00000000,26.833333333333,0.268723804651,0.268723804651,0.0654496544143,0.0120225925926
96660.00000000,26.850000000000,0.268533440299,0.268533440299,0.065425775779,0.01202216
96720.00000000,26.866666666667,0.268343431364,0.268343431364,0.0653988762491,0.0120217540741
96780.00000000,26.883333333333,0.26815377691,0.26815377691,0.065368833561,0.0120213792593
96840.00000000,26.900000000000,0.267964476006,0.267964476006,0.0653355318319,0.01202104
96900.00000000,26.916666666667,0.267775527724,0.267775527724,0.0652988610036,0.0120207407407
96960.00000000,26.933333333333,0.267586931137,0.267586931137,0.0652587163673,0.0120204859259
97020.00000000,26.950000000000,0.267398685324,0.267398685324,0.0652149981556,0.01202028
97080.00000000,26.966666666667,0.267210789366,0.267210789366,0.0651676111924,0.0120201274074
97140.00000000,26.983333333333,0.267023242348,0.267023242348,0.065116464591,0.0120200325926
97200.00000000,27.000000000000,0.266836043358,0.266836043358,0.0650614714945,0.01202
97260.00000000,27.016666666667,0.266649191485,0.266649191485,0.0650100221455,0.01202
97320.00000000,27.033333333333,0.266462685811,0.266462685811,0.0649646349704,0.01202
97380.00000000,27.050000000000,0.266276525424,0.266276525424,0.0649227185392,0.01202
97440.00000000,27.066666666667,0.266090709419,0.266090709419,0.0648831938627,0.01202
97500.00000000,27.083333333333,0.265905236893,0.265905236893,0.0648454547812,0.01202
97560.00000000,27.100000000000,0.265720106946,0.265720106946,0.0648091152281,0.01202
97620.00000000,27.116666666667,0.265535318683,0.265535318683,0.0647739101829,0.01202
97680.00000000,27.133333333333,0.265350871211,0.265350871211,0.0647396482077,0.01202
97740.00000000,27.150000000000,0.26516676364,0.26516676364,0.0647061857555,0.01202
97800.00000000,27.166666666667,0.264982995085,0.264982995085,0.0646734120499,0.01202
97860.00000000,27.183333333333,0.264799564661,0.264799564661,0.0646412396198,0.01202
97920.00000000,27.200000000000,0.26461647149,0.26461647149,0.0646095980854,0.01202
97980.00000000,27.216666666667,0.264433714694,0.264433714694,0.0645784299196,0.01202
98040.00000000,27.233333333333,0.264251293399,0.264251293399,0.0645476874658,0.01202
98100.00000000,27.250000000000,0.264069206734,0.264069206734,0.0645173307836,0.01202
98160.00000000,27.266666666667,0.263887453831,0.263887453831,0.0644873260583,0.01202
98220.00000000,27.283333333333,0.263706033825,0.263706033825,0.0644576444038,0.01202
98280.00000000,27.300000000000,0.263524945855,0.263524945855,0.0644282609458,0.01202
98340.00000000,27.316666666667,0.263344189061,0.263344189061,0.0643991541105,0.01202
98400.00000000,27.333333333333,0.263163762587,0.263163762587,0.0643703050644,0.01202
98460.00000000,27.350000000000,0.262983665579,0.262983665579,0.0643416972688,0.01202
98520.00000000,27.366666666667,0.262803897189,0.262803897189,0.0643133161211,0.01202
98580.00000000,27.383333333333,0.262624456567,0.262624456567,0.064285148664,0.01202
98640.00000000,27.400000000000,0.262445342871,0.262445342871,0.0642571833467,0.01202
98700.00000000,27.416666666667,0.262266555257,0.262266555257,0.0642294098283,0.01202
98760.00000000,27.433333333333,0.262088092888,0.262088092888,0.064201818814,0.01202
98820.00000000,27.450000000000,0.261909954927,0.261909954927,0.0641744019183,0.01202
98880.00000000,27.466666666667,0.261732140541,0.261732140541,0.0641471515494,0.01202
98940.00000000,27.483333333333,0.2615546489,0.2615546489,0.0641200608117,0.01202
99000.00000000,27.500000000000,0.261377479176,0.261377479176,0.0640931234225,0.01202
99060.00000000,27.516666666667,0.261200630545,0.261200630545,0.0640663336405,0.01202
99120.00000000,27.533333333333,0.261024102184,0.261024102184,0.064039686205,0.01202
